sample_id,shannon_index,growth_rate,yeast_type
Cecum_Day1,0.6156872398697791,0.1793638553168776,Saccharomyces_yjm451_gca_000976005_Sc_YJM451_v1
Cecum_Day21,2.501956244882025,0.0957639931756944,Saccharomyces_yjm451_gca_000976005_Sc_YJM451_v1
Cecum_Day35,2.5683491838123635,0.063841186552201,Saccharomyces_yjm451_gca_000976005_Sc_YJM451_v1
Cecum_Day7,2.10861108283102,0.1029917017684224,Saccharomyces_yjm451_gca_000976005_Sc_YJM451_v1
Duodenum_Day21,1.714994844642641,0.1179547095108476,Saccharomyces_yjm451_gca_000976005_Sc_YJM451_v1
Duodenum_Day35,1.1865869155886823,0.1615205377340872,Saccharomyces_yjm451_gca_000976005_Sc_YJM451_v1
Duodenum_Day7,1.2496187824769645,0.1495997688495562,Saccharomyces_yjm451_gca_000976005_Sc_YJM451_v1
Feces_Day1,2.729390325984037,0.1166763437030269,Saccharomyces_yjm451_gca_000976005_Sc_YJM451_v1
Feces_Day21,1.6952905064999007,0.1123295743293242,Saccharomyces_yjm451_gca_000976005_Sc_YJM451_v1
Feces_Day35,1.5473232325185615,0.1104796044305672,Saccharomyces_yjm451_gca_000976005_Sc_YJM451_v1
Feces_Day7,0.8327936077405326,0.100125312598544,Saccharomyces_yjm451_gca_000976005_Sc_YJM451_v1
Cecum_Day1,0.6156872398697792,0.1793639336090043,Fusarium_et1_gca_900067095_F__proliferatum_ET1_version_1
Cecum_Day21,2.501956244882025,0.0957639931754668,Fusarium_et1_gca_900067095_F__proliferatum_ET1_version_1
Cecum_Day35,2.568349183812363,0.0677024185154709,Fusarium_et1_gca_900067095_F__proliferatum_ET1_version_1
Cecum_Day7,2.1086110828310196,0.1029917141770184,Fusarium_et1_gca_900067095_F__proliferatum_ET1_version_1
Duodenum_Day21,1.7149948446426413,0.1256036844891532,Fusarium_et1_gca_900067095_F__proliferatum_ET1_version_1
Duodenum_Day35,1.1865869155886823,0.161579529572634,Fusarium_et1_gca_900067095_F__proliferatum_ET1_version_1
Duodenum_Day7,1.2496187824769645,0.1495984363776805,Fusarium_et1_gca_900067095_F__proliferatum_ET1_version_1
Feces_Day1,2.729390325984037,0.1166751804996241,Fusarium_et1_gca_900067095_F__proliferatum_ET1_version_1
Feces_Day21,1.6952905064999007,0.1123298336733525,Fusarium_et1_gca_900067095_F__proliferatum_ET1_version_1
Feces_Day35,1.547323232518562,0.1104795782185859,Fusarium_et1_gca_900067095_F__proliferatum_ET1_version_1
Feces_Day7,0.8327936077405328,0.1012010554511545,Fusarium_et1_gca_900067095_F__proliferatum_ET1_version_1
Cecum_Day1,0.6156872398697792,0.1793639603663652,Fusarium_f__sp__cepae_FoC_A23_GCA_003615075_1
Cecum_Day21,2.501956244882025,0.0957639931757133,Fusarium_f__sp__cepae_FoC_A23_GCA_003615075_1
Cecum_Day35,2.568349183812363,0.0743085121165566,Fusarium_f__sp__cepae_FoC_A23_GCA_003615075_1
Cecum_Day7,2.1086110828310196,0.1029917141726749,Fusarium_f__sp__cepae_FoC_A23_GCA_003615075_1
Duodenum_Day21,1.7149948446426413,0.1256036844890133,Fusarium_f__sp__cepae_FoC_A23_GCA_003615075_1
Duodenum_Day35,1.1865869155886823,0.1615205888250323,Fusarium_f__sp__cepae_FoC_A23_GCA_003615075_1
Duodenum_Day7,1.2496187824769645,0.1496014097279602,Fusarium_f__sp__cepae_FoC_A23_GCA_003615075_1
Feces_Day1,2.729390325984037,0.1101619457109298,Fusarium_f__sp__cepae_FoC_A23_GCA_003615075_1
Feces_Day21,1.6952905064999007,0.1123297518347078,Fusarium_f__sp__cepae_FoC_A23_GCA_003615075_1
Feces_Day35,1.547323232518562,0.1104795146661249,Fusarium_f__sp__cepae_FoC_A23_GCA_003615075_1
Feces_Day7,0.8327936077405328,0.1078217091510981,Fusarium_f__sp__cepae_FoC_A23_GCA_003615075_1
Cecum_Day1,0.6156872398697792,0.179363791347019,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155_FO_CL57_V1
Cecum_Day21,2.501956244882025,0.0957639931752278,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155_FO_CL57_V1
Cecum_Day35,2.568349183812363,0.0637659037459399,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155_FO_CL57_V1
Cecum_Day7,2.1086110828310196,0.1029909312736775,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155_FO_CL57_V1
Duodenum_Day21,1.7149948446426413,0.1043232246795405,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155_FO_CL57_V1
Duodenum_Day35,1.1865869155886823,0.161520585583376,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155_FO_CL57_V1
Duodenum_Day7,1.2496187824769645,0.149601340908292,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155_FO_CL57_V1
Feces_Day1,2.729390325984037,0.0864554885210704,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155_FO_CL57_V1
Feces_Day21,1.6952905064999007,0.1123297781240913,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155_FO_CL57_V1
Feces_Day35,1.547323232518562,0.110479604450843,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155_FO_CL57_V1
Feces_Day7,0.8327936077405328,0.1316450081024525,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155_FO_CL57_V1
Cecum_Day1,0.6156872398697792,0.1793639371072549,Fusarium_f_sp_vasinfectum_25433_gca_000260175_FO_Cotton_V1
